poignant,adjective,emotionally touching.,"After the Montagues and Capulets discover the dead bodies of Romeo and Juliet, in the play's most poignant moment, the two griefstricken familes agree to end their feud once and for all. This word has other definitions but this is the most important one for the GRE."
effervescent,adjective,marked by high spirits or excitement.,"After the sales result, the manager was in an effervescent mood, letting several employees leave work early that day. This word has other definitions but this is the most important one for the GRE."
disheartened,adjective,made less hopeful or enthusiastic.,"After the visiting team scored nine times, the home team's fans were disheartened, some leaving the game early."
anemic,adjective,lacking energy and vigor.,"After three straight shows, the lead actress gave an anemic performance the fourth night, barely speaking loudly enough for those in the back rows to hear."
exiguity,noun,the quality of being meager.,"After two months at sea, the exiguity of the ship's supplies forced them to search for fresh water and food."
disaffected,adjective,discontented as toward authority.,"After watching his superior take rations from the soliders, he quickly became disaffected and rebeled."
importuned,verb,beg persistently and urgently.,"After weeks of importuning the star to meet for a five-minute interview, the journalist finally got what she wanted."
fete,verb,to celebrate a person.,"After World War II, war heroes were feted at first but quickly forgotten."
recrudesce,verb,to break out or happen again.,"After years of gamblers anonymous, Tony thought he'd broken his compulsive slot machine playing, but it took only one trip to the Atlantic City for a full recrudescence--he lost $5k on the one armed bandit."
altruism,noun,the quality of unselfish concern for the welfare of others.,"Albert Schweitzer spent most of his life doing missionary work as a doctor in Africa, seeking no reward, apparently motivated only by altruism."
eponym,noun,the name derived from a person (real or imaginary); the person for whom something is named.,"Alexandria, Egypt is an eponym because it is named after Alexander the Great."
start,verb,to suddenly move in a particular direction.,"All alone in the mansion, Henrietta started when she heard a sound. This word has other definitions but this is the most important one for the GRE."
verisimilitude,noun,the appearance of truth.,"All bad novels are bad for numerous reasons; all good novels are good for their verisimilitude of reality, placing the readers in a world that resembles the one they know."
blatant,adjective,without any attempt at concealment; completely obvious,Allen was often punished in school for blatantly disrespecting teachers.
inarticulate,adjective,without or deprived of the use of speech or words.,"Although a brilliant economist, Professor Black was completely inarticulate, a terrible lecturer."
savvy,noun,a perceptive understanding.,"Although a great CEO, he did not have the political savvy to win the election."
rapprochement,noun,the reestablishing of cordial relations.,"Although Ann hoped that her mother and her aunt would have a rapprochement, each one's bitter accusations against the other made any reconciliation unlikely."
dovetail,verb,"fit together tightly, as if by means of a interlocking joint.","Although Darwin's evolution and Mendel's genetics were developed in isolation from one another, they dovetail each other very well. This word has other definitions but this is the most important one for the GRE."
candidness,noun,the quality of being honest and straightforward in attitude and speech.,"Although I was unhappy that the relationship ended, I appreciated her candidness about why she was ready to move on from the relationship."
approbatory,adjective,expressing praise or approval.,"Although it might not be her best work, Hunter's new novel has received generally approbatory reviews."
jejune,adjective,dull; lacking flavor.,"Although many top chefs have secured culinary foam's popularity in haute cuisine, Waters criticizes it for being jejune and unfilling."
soporific,adjective,inducing mental lethargy; sleep inducing.,"Although the professor is brilliant, his bland monotone gives his lectures a soporific effect."
contemptuous,adjective,"scornful, looking down at others with a sneering attitude.","Always on the forefront of fashion, Vanessa looked contemptuously at anyone wearing dated clothing."
amiable,adjective,friendly.,Amy's name was very apt: she was so amiable that she was twice voted class president.
apostate,noun,a person who has abandoned a religious faith or cause.,"An apostate of the Republican Party, Sheldon has yet to become affiliated with any party and dubs himself an independent."
arrant,adjective,complete and wholly (usually modifying a noun with negative connotation).,"An arrant fool, Lawrence surprised nobody when he lost all his money in a pyramid scheme that was every bit as transparent as it was corrupt."
egotist,noun,a conceited and self-centered person.,"An egotist, Natasha had few friends because of her inability to talk about anything except her dream of becoming the next American Idol."
hound,verb,to pursue relentlessly.,"An implacable foe of corruption, Eliot Ness hounded out graft in all forms--he even helped nab Al Capone. This word has other definitions but this is the most important one for the GRE."
differentiate,verb,evolve so as to lead to a new species or develop in a way most suited to the environment.,Animals on Madagascar differentiated from other similar animal species due to many years of isolation on the island.
arrogate,verb,seize and control without authority.,"Arriving at the small town, the outlaw arrogated the privileges of a lord, asking the frightened citizens to provide food, drink, and entertainment."
maladroit,adjective,clumsy.,"As a child she was quite maladroit, but as an adult, she has become an adept dancer. This word has other definitions but this is the most important one for the GRE."
exasperate,verb,to irritate intensely.,"As a child, I exasperated my mother with strings of never-ending questions."
forthcoming,adjective,at ease in talking to others.,"As a husband, Larry was not forthcoming: if Jill didn't demand to know details, Larry would never share them with her."
thoroughgoing,adjective,very thorough; complete.,"As a thoroughgoing bibliophile, one who had turned his house into a veritable library, he shocked his friends when he bought a Kindle."
stultify,verb,"cause one, through routine, to lose energy and enthusiasm.","As an undergraduate Mark felt stultified by classes outside his area of study; only in grad school, in which he could focus solely on literary analysis, did he regain his scholarly edge."
junta,noun,an aggressive takeover by a group (usually military).,"As dangerous of a threat as North Korea is, some analysts believe that were a junta suddenly to gain power, it could be even more unpredictable and bellicose than the current leadership."
apotheosis,noun,exaltation to divine status; the highest point of development.,"As difficult as it is to imagine, the apotheosis of Mark Zuckerberg's career, many believe, is yet to come."
tribulation,noun,"something, especially an event, that causes difficulty and suffering.","As of 2013, nearly 1.5 million Syrians have fled their country hoping to escape the tribulations of a civil war tearing their country to pieces."
abrogate,verb,revoke formally.,"As part of the agreement between the labor union and the company, the workers abrogated their right to strike for four years in exchange for better health insurance."
rakish,adjective,marked by a carefree unconventionality or disreputableness.,"As soon as he arrived in the city, the rakish young man bought some drugs and headed straight for the seedy parts of town."
hauteur,noun,overbearing pride evidenced by a superior manner toward inferiors.,"As soon as she won the lottery, Alice begin displaying a hauteur to her friends, calling them dirty-clothed peasants behind their backs."
dispatch,verb,dispose of rapidly and without delay and efficiently.,"As soon as the angry peasants stormed the castle, they caught the king and swiftly dispatched him. This word has other definitions but this is the most important one for the GRE."
languid,adjective,not inclined towards physical exertion or effort; slow and relaxed.,"As the sun beat down and the temperature climbed higher, we spent a languid week lying around the house."
bristle,verb,react in an offended or angry manner.,"As we discussed the painting, I noticed the artitst's wife bristling at our criticisms, ready to defend her husband's work."
invidious,adjective,likely to cause resentment.,"At a time when many others in the office were about to be laid off, many considered Cheryl's fine clothes that day an invidious display. This word has other definitions but this is the most important one for the GRE."
intimate,verb,to suggest something subtly.,"At first Manfred's teachers intimated to his parents that he was not suited to skip a grade; when his parents protested, teachers explicitly told them that, notwithstanding the boy's precocity, he was simply too immature to jump to the 6th grade. This word has other definitions but this is the most important one for the GRE."
intimation,noun,an indirect suggestion.,"At first the hostess tried intimation, praising the benefits of cutlery; when Cecil continued eating with his hands, the hostess told him to use a fork at dinner."
demean,verb,to insult; to cause someone to lose dignity or respect.,"At first the soccer players bantered back and forth, but as soon as one of the players became demeaning, calling the other's mother a water buffalo, the ref whipped out a red card."
reproach,verb,to express criticism towards.,"At first, Sarah was going to yell at the boy, but she didn't want to reproach him for telling the truth about the situation."
pinnacle,noun,the highest point.,"At its pinnacle, the Roman Empire extended across most of the landmass of Eurasia, a feat not paralleled to the rise of the British Empire in the 18th and 19th century."
galvanize,verb,to excite or inspire (someone) to action.,"At mile 23 of his first marathon, Kyle had all but given up, until he noticed his friends and family holding a banner that read, ""Go Kyle""; galvanized, he broke into a gallop, finishing the last three miles in less than 20 minutes."
derelict,noun,(of a building) abandoned.,"At one time the waterfront factories were busy and productive, but now they stand derelict and will be. torn down."
unnerve,verb,to make nervous or upset.,"At one time unnerved by math problems, she began avidly ""Magoosh-ing"", and soon became adept at even combinations and permutations questions."
admonitory,adjective,serving to warn; expressing reproof or reproach especially as a corrective.,"At the assembly, the high school vice-principal gave the students an admonitory speech, warning them of the many risks and dangers of prom night."
consecrate,verb,to make holy or set apart for a high purpose.,"At the church of Notre Dame in France, the new High Altar was consecrated in 1182."
denouement,noun,the final resolution of the many strands of a literary or dramatic work; the outcome of a complex sequence of events.,"At the denouement of the movie, all questions were answered, and the true identity of the robber was revealed."
antiquated,adjective,old-fashioned; belonging to an earlier period in time.,"Aunt Betty had antiquated notions about marriage, believing that a man should court a woman for at least a year before receiving a kiss."
hobble,verb,to hold back the progress of something.,"Bad weather has hobbled rescue efforts, making it difficult for crews to find bodies in the wreckage."
badger,verb,to pester.,"Badgered by his parents to find a job, the 30-year-old loafer instead joined a gang of itinerant musicians. This word has other definitions but this is the most important one for the GRE."
redress,noun,an act of making something right.,"Barry forgot his wife's birthday two years in a row, and was only able to redress his oversight by surprising his wife with a trip to Tahiti. This word has other definitions but this is the most important one for the GRE."
scrupulous,adjective,characterized by extreme care and great effort.,"Because of his scrupulous nature, Mary put him in charge of numbering and cataloging the entire collection of rare stamps."
urbane,adjective,showing a high degree of refinement and the assurance that comes from wide social experience.,"Because of his service as an intelligence officer and his refined tastes, W. Somerset Maugham became the inspiration for the urbane and sophistcate spy James Bond."
nuance,noun,a subtle difference in meaning or opinion or attitude.,"Because of the nuances involved in this case, I hired an outside consultant to advice us and help."
tendentious,adjective,likely to lean towards a controversial view.,"Because political mudslinging has become a staple of the 24-hour media cycle, most of us, despite protestations to the contrary, are tendentious on many of today's pressing issues."
ethereal,adjective,characterized by lightness and insubstantiality.,"Because she dances with an ethereal style, ballet critics have called her Madame Butterfly."
tortuous,adjective,marked by repeated turns and bends; not straightforward.,"Because the logic behind McMahon's side of the debate was so tortuous, his audience came out either completely confused or, worse, feeling they'd been tricked."
culminate,verb,reach the highest or most decisive point.,"Beethoven's musical genius culminated in the 9th Symphony, which many consider his greatest work."
prevail,verb,prove superior.,"Before the cricket match, Australia was heavily favored, but India prevailed."
disseminate,verb,cause to become widely known.,"Before the effects of anaethesia were disseminated, patients had to experience the full pain of a surgery."
powwow,noun,an informal meeting or discussion.,"Before the team takes the field, the coach always calls for a powwow so that he can make sure all the players are mentally in the right place."
artful,adjective,clever in a cunning way.,Bernie Madoff's artful Ponzi scheme stole billions of dollars from investors and is considered the largest financial fraud in U.S. history.
genial,adjective,"agreeable, conducive to comfort.",Betty is a genial young woman: everyone she meets is put at ease by her elegance and grace.
hubris,noun,overbearing pride or presumption.,"Bill Clinton was criticized for his hubris, since he believed he could get away with anything once in the White House."
inanity,noun,total lack of meaning or ideas.,"Bill's poem was nothing more than a list of impressive sounding words, so there was no point in trying to take meaning from the inanity."
upbraid,verb,to reproach; to scold.,"Bob took a risk walking into the ""Students Barbershop""--in the end he had to upbraid the apparently drunk barber for giving him an uneven bowl cut."
callow,adjective,young and inexperienced.,Both Los Angeles and New York are known for callow out-of-towners hoping to make it big.
pyrrhic,adjective,describing a victory that comes at such a great cost that the victory is not worthwhile George W.,Bush's win in the 2000 election was in many ways a pyrrhic victory: the circumstances of his win alienated half of the U.S. population.
beg,verb,to evade or dodge (a question).,By assuming that Charlie was headed to college--which he was not--Maggie begged the question when she asked him to which school he was headed in the Fall. This word has other definitions but this is the most important one for the GRE.
extrapolate,verb,draw from specific cases for more general cases.,"By extrapolating from the data on the past three months, we can predict a 5% increase in traffic to our website."
implicate,verb,convey a meaning; imply.,"By saying that some of the guests were uncomfortable, the manager implicated to the hotel staff that it needed to be more dilligent."
countermand,verb,a contrary command cancelling or reversing a previous command.,"By the time the colonel countermanded his soldiers not to land in enemy territory, a few helicopters had already touched down amid heavy gunfire."
tawdry,adjective,tastelessly showy; cheap and shoddy.,"Carol expected to find New York City magical, the way so many movies had portrayed it, but she was. surprised how often tawdry displays took the place of genuine elegance."
enmity,noun,a state of deep-seated ill-will.,"Charles rude remark toward Sarah yesterday was due to his illness, not due to any real enmity toward Sarah."
plodding,adjective,(of movement) slow and laborious.,"Charlie may seem to run at a plodding pace, but he is an ultramarathoner, meaning he runs distances of up to 100 miles, and can run for ten hours at a stretch."
mellifluous,adjective,smooth and sweet-sounding.,"Chelsea's grandmother thought Franz Schubert's music to be the most mellifluous ever written; Chelsea demurred, and to her grandmother's chagrin, would blast Rihanna on the home stereo speakers."
insufferable,adjective,"intolerable, difficult to endure.","Chester always tried to find some area in which he excelled above others; unsurprisingly, his co-workers found him insufferable and chose to exclude him from daily luncheons out."
dolorous,adjective,showing sorrow.,Chopin's ballades are filled with sharp changes in moods--a dolorous melody can give way to a lighthearted tempo.
robust,adjective,"sturdy and strong in form, constitution, or construction.","Chris preferred bland and mild beers, but Bhavin preferred a beer with more robust flavor."
qualify,verb,to make less severe; to limit (a statement).,"Chris qualified his love for San Francisco, adding that he didn't like the weather as much as the weather in Los Angeles."
tempestuous,adjective,as if driven by turbulent or conflicting emotions; highly energetic and wildly changing or fluctuating.,"Chuck and Kathy had always been stable and agreeable people on their own, but when they got involved, it was a tempestuous relationship."
abysmal,adjective,extremely bad.,Coach Ramsey took his newest player off the field after watching a few painful minutes of her abysmal performance.
miscreant,noun,a person who breaks the law.,Come back you miscreant! yelled the woman who just had her purse stollen.
tractable,adjective,readily reacting to suggestions and influences; easily managed (controlled or taught or molded).,"Compared to middle school students, who have an untamed wildness about them, high school students are somewhat more tractable."
conundrum,noun,a difficult problem.,Computers have helped solve some of the mathematical conundrums which have puzzled man for many centuries.
concomitant,adjective,describing an event or situation that happens at the same time as or in connection with another.,Concomitant with his desire for nature was a desire for the culture and energy of a big city.
abstain,verb,choose not to consume or take part in (particularly something enjoyable),"Considered a health nut, Jessica abstained from anything containing sugar--even chocolate."
denigrate,verb,charge falsely or with malicious intent; attack the good name and reputation of someone.,"Count Rumford denigrated the new theory of heat, demonstrating that it was wholly inadequate to explain the observations."
quail,verb,"draw back, as with fear or pain.","Craig always claimed to be a fearless outdoorsman, but when the thunderstorm engulfed the valley, he quailed at the thought of leaving the safety of his cabin. This word has other definitions but this is the most important one for the GRE."
creditable,adjective,deserving of praise but not that amazing.,"Critics agreed the movie was creditable, but few gave it more than three out of five stars."
ingenuity,noun,the power of creative imagination.,"Daedalus was famous for his ingenuity; he was able to fashion his son Icarus with a pair of wings, using wax to hold them together."
rile,verb,"cause annoyance in; disturb, especially by minor irritations.","Dan is usually calm and balanced, but it takes only one intense glare from Sabrina to rile him."
ploy,noun,a clever plan to turn a situation to one's advantage.,"Dennis arranged an elaborate ploy, involving 14 different people lying for him in different situations, so that it could appear that he was meeting Mary completely by chance at the wedding reception."
check,verb,to limit (usually modifying the growth of something).,"Deserted for six months, the property began to look more like a jungle and less like a residence--weeds grew unchecked in the front yard. This word has other definitions but this is the most important one for the GRE."
contrive,verb,"to pull off a plan or scheme, usually through skill or trickery.","Despite a low GPA, he contrived to get into college, going so far as to write his own glowing letters of recommendation. This word has other definitions but this is the most important one for the GRE."
raft,noun,a large number of something.,"Despite a raft of city ordinances passed by an overzealous council, noise pollution continued unabated in the megalopolis. This word has other definitions but this is the most important one for the GRE."
stalwart,adjective,dependable; inured to fatigue or hardships.,"Despite all the criticism directed at the President during this scandal, Lisa has remained his stalwart supporter."
discord,noun,lack of agreement or harmony.,"Despite all their talented players, the team was filled with discord--some players refused to talk to others--and lost most of their games."
sybarite,noun,a person who indulges in luxury.,"Despite the fact that he'd maxed out fifteen credit cards, Max was still a sybarite at heart: when the police found him, he was at a $1,000 an hour spa in Manhattan, getting a facial treatment."
moment,noun,significant and important value.,"Despite the initial hullabaloo, the play was of no great moment in Hampton's writing career, and within a few years the public quickly forgot his foray into theater arts. This word has other definitions but this is the most important one for the GRE."
artless,adjective,without cunning or deceit.,"Despite the president's seemingly artless speeches, he was a skilled and ruthless negotiator."
impertinent,adjective,being disrespectful; improperly forward or bold.,"Dexter, distraught over losing his pet dachshund, Madeline, found the police officer's questions impertinent--after all, he thought, did she have to pry into such details as to what Madeline's favorite snack was?."
cow,verb,to intimidate.,"Do not be cowed by a 3,000-word vocabulary list: turn that list into a deck of flashcards!. This word has other definitions but this is the most important one for the GRE."
itinerant,adjective,traveling from place to place to work,"Doctors used to be itinerant, traveling between patients' homes."
subsume,verb,consider (an instance of something) as part of a general rule or principle.,"Don Quixote of La Mancha subsumes all other modern novels, demonstrating modern literary devices. and predating even the idea of a postmodern, metanarrative."
wanton,adjective,"without check or limitation; showing no moral restraints to one's anger, desire, or appetites.","Due to wanton behavior and crude language, the drunk man was thrown out of the bar and asked to never return."
infelicitous,adjective,inappropriate.,"During the executive meeting, the marketing director continued to make infelicitous comments about the CEO's gambling habit."
heyday,noun,the pinnacle or top of a time period or career.,"During the heyday of Prohibition, bootlegging had become such a lucrative business that many who had been opposed to the 18th Amendment began to fear it would be repealed."
browbeat,verb,be bossy towards; discourage or frighten with threats or a domineering manner,"During the interrogation, the suspect was browbeaten into signing a false confession."
palaver,verb,speak (about unimportant matters) rapidly and incessantly.,"During the rain delay, many who had come to see the game palavered, probably hoping that idle chatter would make the time go by faster. This word has other definitions but this is the most important one for the GRE."
zeitgeist,noun,spirit of the times.,Each decade has its own zeitgeist--the 1990's was a prosperous time in which the promise of the American Dream never seemed more palpable.
indecorous,adjective,not in keeping with accepted standards of what is right or proper in polite society.,Eating with elbows on the table is considered indecorous in refined circles.
macabre,adjective,suggesting the horror of death and decay; gruesome.,Edgar Allen Poe was considered the master of the macabre; his stories vividly describe the moment leading up to--and often those moments after--a grisly death.
illustrious,adjective,widely known and esteemed; having or conferring glory,Einstein was possibly the most illustrious scientist in recent history.
stolid,adjective,having or revealing little emotion or sensibility; not easily aroused or excited,"Elephants may appear stolid to casual observers, but they actually have passionate emotional lives."
retract,verb,"pull inward or towards a center; formally reject or disavow a formerly held belief, usually under pressure.","Email is wonderfully efficient, but once something awkward or damaging has been sent, there is no way to retract it."
deliberate,verb,think about carefully; weigh the pros and cons of an issue.,Emergency situations such as this call for immediate action and leave no room to deliberate over options. This word has other definitions but this is the most important one for the GRE.
empiricism,noun,"any method that derives knowledge from experience, used in experimental science as a way to gain insight and knowledge.",Empiricism does not always lead to knowledge; an experience or experiment may raise more questions than it answers.
picayune,adjective,trifling or petty (a person).,"English teachers are notorious for being picayune; however, the English language is so nuanced and sophisticated that often such teachers are not being contrary but are only adhering to the rules."
excoriate,verb,to criticize very harshly.,"Entrusted with the prototype to his company's latest smartphone, Larry, during a late night karaoke bout, let the prototype slip into the hands of a rival company--the next day Larry was excoriated, and then fired."
elude,verb,escape understanding.,Even a basic understanding of physics can elude most high schools students.
obliging,adjective,showing a cheerful willingness to do favors for others.,"Even after all his success, I found him to be accommodating and obliging, sharing with me his ""secret tips"" on how to gain wealth and make friends."
ossify,verb,make rigid and set into a conventional pattern.,"Even as a young man, Bob had some bias against poor people, but during his years in social services, his bad opinions ossified into unshiftable views. This word has other definitions but this is the most important one for the GRE."
perquisite,noun,a right reserved exclusively by a particular person or group (especially a hereditary or official right).,"Even as the dishwasher at the French restaurant, Josh quickly learned that he had the perquisite of being able to eat terrific food for half the price diners would pay."
sanctimonious,adjective,making a show of being pious; holier-than-thou.,"Even during the quiet sanctity of evening prayer, she held her chin high, a sanctimonious sneer forming on her face as she eyed those who were attending church for the first time."
vicissitude,noun,"change in one""s circumstances, usually for the worse.","Even great rulers have their vicissitudes--massive kingdoms have diminished overnight, and once beloved kings have faced the scorn of angry masses."
denote,verb,be a sign or indication of; have as a meaning.,"Even if the text is not visible, the red octagon denotes ""stop"" to all motorists in America."
Pollyannaish,adjective,extremely optimistic.,"Even in the midst of a lousy sales quarter, Debbie remained Pollyannaish, never losing her shrill voice and wide smile, even when prospective customers hung up on her."
venality,noun,the condition of being susceptible to bribes or corruption.,"Even some of the most sacrosanct sporting events are not immune to venality, as many of the officials have received substantial bribes to make biased calls."
percipient,adjective,highly perceptive.,Even the most percipient editor will make an occasional error when proofreading.
tenacious,adjective,stubbornly unyielding.,Even the most tenacious advocates for gun ownership must admit some of the dangers that firearms present.
gall,noun,the trait of being rude and impertinent.,"Even though Carly was only recently hired, she had the gall to question her boss's judgment in front of the office."
besotted,adjective,strongly affectionate towards.,"Even though her father did not approve, Juliet became besotted with the young Romeo."
ingratiate,verb,gain favor with somebody by deliberate efforts.,"Even though Tom didn't like his new boss, he decided to ingratiate himself to her in order to advance his career."
candid,adjective,a straightforward and honest look at something.,"Even with a perfect stranger, Charles was always candid and would rarely hold anything back."
cede,verb,relinquish possession or control over.,"Eventually, all parents must cede control of their growing childrens' educations and allow their offspring some autonomy."
flux,noun,a state of uncertainty about what should be done (usually following some important event),"Ever since Elvira resigned as the head of marketing, everything about our sales strategy has been in a state of flux."
splenetic,adjective,very irritable.,"Ever since the car accident, Frank has been unable to walk without a cane, and so he has become splenetic and unpleasant to be around."
ferret,verb,to search for something persistently.,"Ever the resourceful lexicographer, Fenton was able to ferret out the word origin of highly obscure words. This word has other definitions but this is the most important one for the GRE."
respite,noun,a pause from doing something (as work).,"Every afternoon, the small company has a respite in which workers play foosball or board games."
surly,adjective,inclined to anger or bad feelings with overtones of menace.,"Every morning, Bhavin was a surly unhappy person, but once he ate breakfast, he became loving, laughing, and a joy to be around."
recapitulation,noun,a summary (think of recap).,Every point of the professors lesson was so clear that the students felt his concluding recapitulation was not necessary.
evasive,adjective,deliberately vague or ambiguous.,"Every time I call the bank, I receive the same evasive answers about our mortgage and never get a clear response."
scrupulous,adjective,having a sense of right and wrong; principled.,Everyone trusted what he said and followed his example because he was scrupulous and honest.
superfluous,adjective,"more than is needed, desired, or required",Everything in this closet is superfluous and can be given to charity.
benighted,adjective,fallen into a state of ignorance.,"Far from being a period of utter benightedness, The Medieval Ages produced some great works of theological speculation."
colossal,adjective,so great in size or force or extent as to elicit awe.,"Few appreciate the colossal scale of the sun: if hollow, it could contain a million Earths."
elegiac,adjective,expressing sorrow.,Few can listen to the elegiac opening bars of the Moonlight sonata without feeling the urge to cry.
desiccated,adjective,"uninteresting, lacking vitality.",Few novelists over 80 are able to produce anything more than desiccated works--boring shadows of former books. This word has other definitions but this is the most important one for the GRE.
subterfuge,noun,something intended to misrepresent the true nature of an activity.,"Finally deciding to abandon all subterfuge, Arthur revealed to Cindy everything about his secret affair over the past two years."
quixotic,adjective,wildly idealistic; impractical.,"For every thousand startups with quixotic plans to be the next big name in e-commerce, only a handful ever become profitable."
fell,adjective,terribly evil.,"For fans of the Harry Potter series, the fell Lord Voldemort, who terrorized poor Harry for seven lengthy installments, has finally been vanquished by the forces of good--unless, that is, JK Rowling decides to come out of retirement. This word has other definitions but this is the most important one for the GRE."
ineluctable,adjective,impossible to avoid or evade:.,"For those who smoke cigarettes for years, a major health crisis brought on by smoking is ineluctable."
vanquish,verb,"come out better in a competition, race, or conflict.","For years, Argentina would dominate in World Cup qualifying matches, only to be vanquished by one of the European countries during the late stages of the tournament."
vaunted,adjective,highly or widely praised or boasted about.,"For years, they had heard of New York City's vaunted skyline, and when they finally saw it, the spectacular cityscape did not disappoint them in the least."
staid,adjective,characterized by dignity and propriety.,"Frank came from a staid enviroment, so he was shocked that his college rooommate sold narcotics."
firebrand,noun,someone who deliberately creates trouble.,"Freddie is a firebrand: every time he walks into the office, he winds up at the center of heated argument."
schadenfreude,noun,joy from watching the suffering of others.,"From his warm apartment window, Stanley reveled in schadenfreude as he laughed at the figures below, huddled together in the arctic chill."
derive,verb,reason by deduction; establish by deduction.,"From the multiple set of footprints in the living room, the investigator derived an important clue: Sheila was not alone in the room at the time of the murder."
